"OBS","PPI_GAP_AT","U_GAP_AT"
"2004Q1",-0.009396403824949884,0.004371828840509337
"2004Q2",0.002481069796570015,-0.02445418288444123
"2004Q3",0.001652250503265913,-0.03998727954926866
"2004Q4",0.01146503046257049,-0.003395858480465965
"2005Q1",0.005518481032617932,0.05319049155771814
"2005Q2",-0.01020248002421027,0.02814945104228766
"2005Q3",-0.01451331030715336,0.03616335590531457
"2005Q4",-0.004569190296375233,0.06441079198966775
"2006Q1",-0.01206239352031535,0.0885182511668528
"2006Q2",-0.006931181266379558,-0.002171272458759381
"2006Q3",-0.0007665672595658296,-0.02033130450274165
"2006Q4",0.001574604497452932,-0.02353565826376258
"2007Q1",-0.009473684480737583,-0.0421431480568672
"2007Q2",-0.007758954348932467,-0.04811273597766642
"2007Q3",0.01451375558069349,-0.05530745743336168
"2007Q4",0.03981156934791513,-0.07296141407558783
"2008Q1",0.05280397369593006,-0.1676926328047761
"2008Q2",0.07497226523666223,-0.1121518212084959
"2008Q3",0.06590859105816556,-0.09343091886543177
"2008Q4",0.004061750031077846,-0.05445558348226404
"2009Q1",-0.03791973076147248,0.02974046478971433
"2009Q2",-0.05261667040077404,0.1014408291376174
"2009Q3",-0.0568625904986086,0.1219708151077188
"2009Q4",-0.05334560674446977,0.07301282097446507
"2010Q1",-0.05142673038151918,0.06493165285527613
"2010Q2",-0.02928574814913254,0.04570234072176836
"2010Q3",-0.02892857423447213,0.02659629065919245
"2010Q4",-0.008515569822884638,-0.001304415613451344
"2011Q1",0.03183634678874871,-0.02841465941293164
"2011Q2",0.02452424812191053,-0.0125012856305875
"2011Q3",0.01206411529978029,0.00320954002087897
"2011Q4",0.00798697405092379,-0.004689563604731305
"2012Q1",0.01670630783190015,-0.01199314407823056
"2012Q2",0.004893563098773909,0.003643621020869326
"2012Q3",0.01217031798245893,0.02872588583318667
"2012Q4",0.00753146442395121,0.03044038076064092
